0.762	0.682	0.725	0.82	0.843	0.78	0.873	1	0.921	0.899	0.938	0.791	0.696	0.724	0.749	0.792
0.497	0.539	0.668	0.636	0.793	0.949	0.917	0.876	0.951	0.982	0.926	0.896	0.816	0.734	0.703	0.736
0.205	0.29	0.403	0.447	0.537	0.703	0.775	0.762	0.892	0.936	0.637	0.414	0.376	0.244	0.287	0.316
0.161	0.188	0.192	0.213	0.314	0.372	0.526	0.692	0.895	0.921	0.583	0.44	0.465	0.281	0.171	0.177
0.084	0.087	0.129	0.162	0.151	0.119	0.193	0.225	0.205	0.277	0.26	0.19	0.189	0.154	0.148	0.137
0.187	0.136	0.235	0.291	0.24	0.19	0.238	0.291	0.256	0.23	0.198	0.148	0.175	0.151	0.182	0.225
0.311	0.238	0.278	0.379	0.353	0.29	0.461	0.704	0.711	0.585	0.658	0.663	0.515	0.401	0.405	0.522
0.394	0.383	0.335	0.339	0.396	0.532	0.724	0.721	0.593	0.554	0.531	0.474	0.461	0.426	0.318	0.305
0.875	0.946	1	0.992	0.902	0.771	0.642	0.526	0.413	0.321	0.269	0.269	0.323	0.414	0.507	0.6
