0.517	0.568	0.628	0.841	0.902	0.789	0.84	0.862	0.735	0.619	0.701	0.815	0.672	0.625	0.629	0.591
0.624	0.732	0.86	0.895	0.726	0.664	0.875	1	0.893	0.743	0.702	0.662	0.505	0.476	0.52	0.542
0.603	0.579	0.654	0.74	0.713	0.639	0.608	0.614	0.552	0.511	0.607	0.561	0.291	0.172	0.262	0.354
0.385	0.367	0.302	0.363	0.471	0.473	0.612	0.739	0.613	0.393	0.345	0.31	0.225	0.248	0.237	0.21
0.14	0.119	0.074	0.058	0.056	0.1	0.127	0.115	0.101	0.164	0.189	0.154	0.158	0.175	0.143	0.092
0.136	0.106	0.066	0.064	0.064	0.117	0.186	0.161	0.084	0.219	0.245	0.134	0.112	0.129	0.144	0.144
0.131	0.119	0.094	0.071	0.054	0.07	0.109	0.104	0.048	0.492	0.662	0.551	0.429	0.38	0.277	0.153
0.533	0.54	0.479	0.379	0.399	0.39	0.288	0.301	0.317	0.443	0.516	0.472	0.442	0.352	0.246	0.211
1	0.996	0.923	0.805	0.688	0.587	0.464	0.36	0.321	0.326	0.379	0.463	0.566	0.702	0.846	0.912
