0.384	0.527	0.554	0.539	0.667	0.845	0.841	0.7	0.742	0.789	0.667	0.539	0.625	0.673	0.631	0.61
0.557	0.786	0.776	0.814	0.908	1	0.984	0.954	0.941	0.773	0.738	0.787	0.941	0.893	0.701	0.759
0.109	0.209	0.365	0.473	0.525	0.495	0.618	0.783	0.764	0.752	0.653	0.485	0.593	0.542	0.4	0.427
0.237	0.212	0.29	0.61	0.746	0.625	0.58	0.629	0.745	0.842	0.795	0.688	0.578	0.528	0.413	0.466
0.087	0.098	0.126	0.194	0.225	0.251	0.313	0.323	0.522	0.62	0.448	0.282	0.239	0.216	0.152	0.191
0.112	0.109	0.106	0.138	0.159	0.203	0.247	0.215	0.259	0.385	0.337	0.199	0.139	0.149	0.153	0.139
0.427	0.285	0.171	0.228	0.271	0.262	0.289	0.322	0.383	0.406	0.448	0.55	0.625	0.658	0.623	0.65
0.232	0.155	0.141	0.143	0.157	0.176	0.267	0.316	0.319	0.403	0.491	0.577	0.64	0.647	0.684	0.72
0.869	0.917	0.97	1	0.989	0.9	0.749	0.625	0.573	0.54	0.453	0.398	0.463	0.55	0.608	0.674
